group,dataset,T,d,min_support,kmax,measured_time_sec,num_itemsets,estimated_time_sec
vary_T,T1000_d50,974,50,0.02,3,0.05310150000013891,40,0.05310150000013891
vary_T,T2000_d50,1945,50,0.02,3,0.09532089999993332,39,0.1060394430187579
vary_T,T4000_d50,3892,50,0.02,3,0.19083529999988968,41,0.21218792402519573
vary_T,T8000_d50,7788,50,0.02,3,0.38685060000034355,40,0.4245939240257514
vary_d,T8000_d20,6605,20,0.02,3,0.07135739999966972,20,0.07135739999966972
vary_d,T8000_d35,7461,35,0.02,3,0.2624318999996831,35,0.4284018844340505
vary_d,T8000_d50,7788,50,0.02,3,0.36307959999976447,40,1.3010226401150986
vary_d,T8000_d65,7920,65,0.02,3,0.3809454000002006,40,2.9044244384422724
